IdDeportista, Deportista, Especialidad, Torneo, MejorMarca, PeorMarca, Intento
(190, 'Gabriela DEBUES-STAFFORD', 'tiempo', 'Torneo de Kuwait', 848705.0, 208819.0, 1)
(232, 'Caroline Chepkoech KIPKIRUI', 'tiempo', 'Torneo de Myanmar', 3825784.0, 772171.0, 1)
(292, 'Felix KIBITOK', 'tiempo', 'Torneo de Lebanon', 3826570.0, 3482012.0, 1)
(407, 'Kyron MCMASTER', 'tiempo', 'Torneo de Timor-Leste', 50689.0, 46094.0, 1)
(367, 'Omar MCLEOD', 'tiempo', 'Torneo de Kosovo', 13307.0, 12099.0, 1)
(600, 'Naa ANANG', 'largo', 'Torneo de Puerto Rico', 956.0, 869.0, 4)
(354, 'Kaan Kigen ÖZBILEN', 'tiempo', 'Torneo de San Marino', 8028537.0, 7303292.0, 1)
(683, 'Alyona GORDEYEVA', 'lanzamiento', 'Torneo de Bhutan', 2521.0, 2292.0, 6)
(560, 'Iryna ZHUK', 'altura', 'Torneo de Slovenia', 667.0, 606.0, 10)
(127, 'Timothy CHERUIYOT', 'tiempo', 'Torneo de Hungary', 229619.0, 101989.0, 1)
(579, 'Thobias MONTLER', 'largo', 'Torneo de Mexico', 956.0, 869.0, 2)
(197, 'Ciara MAGEEAN', 'tiempo', 'Torneo de Bhutan', 229635.0, 209043.0, 1)
(88, 'Kahmari MONTGOMERY', 'tiempo', 'Torneo de Dominica', 47791.0, 43461.0, 1)
(572, 'Andwuelle WRIGHT', 'largo', 'Torneo de Kazakhstan', 956.0, 869.0, 2)
(662, 'Jacko GILL', 'lanzamiento', 'Torneo de Solomon Islands', 2516.0, 2291.0, 9)
(546, 'Eliza MCCARTNEY', 'altura', 'Torneo de Uzbekistan', 667.0, 606.0, 6)
(646, 'Ryan CROUSER', 'lanzamiento', 'Torneo de Egypt', 2520.0, 2291.0, 8)
(64, 'Michael NORMAN', 'tiempo', 'Torneo de Finland', 47793.0, 19521.0, 1)
(171, 'Samuel TEFERA', 'tiempo', 'Torneo de Malta', 229634.0, 208888.0, 1)
(423, 'Lindsay HANEKOM', 'tiempo', 'Torneo de Sudan', 50699.0, 46092.0, 1)
(294, 'Leonard BARSOTON', 'tiempo', 'Torneo de Papua New Guinea', 3827516.0, 3484102.0, 1)
(437, 'Lauren WELLS', 'tiempo', 'Torneo de Bolivia', 50698.0, 46100.0, 1)
(783, 'Ariana INCE', 'lanzamiento', 'Torneo de Norway', 9967.0, 9064.0, 4)
(765, 'Yelizaveta TSAREVA', 'lanzamiento', 'Torneo de Ukraine', 8990.0, 8175.0, 2)
(664, 'Tim NEDOW', 'lanzamiento', 'Torneo de Micronesia', 2521.0, 2292.0, 1)
(364, 'Grant HOLLOWAY', 'tiempo', 'Torneo de Canada', 13308.0, 12101.0, 1)
(725, 'Marike STEINACKER', 'lanzamiento', 'Torneo de Indonesia', 7892.0, 7192.0, 10)
(185, 'Faith KIPYEGON', 'tiempo', 'Torneo de Finland', 229641.0, 208809.0, 1)
(338, 'Workenesh EDESA', 'tiempo', 'Torneo de Lebanon', 8028679.0, 7304505.0, 1)
(376, 'Wilhem BELOCIAN', 'tiempo', 'Torneo de Vietnam', 13302.0, 12112.0, 1)
(208, 'Abadi HADIS', 'tiempo', 'Torneo de Estonia', 3828537.0, 772645.0, 1)
(561, 'Robeilys PEINADO', 'altura', 'Torneo de Lesotho', 666.0, 606.0, 10)
(723, 'Yelena PANOVA', 'lanzamiento', 'Torneo de Albania', 7904.0, 7186.0, 8)
(41, 'Tynia GAITHER', 'tiempo', 'Torneo de Kyrgyzstan', 10735.0, 9760.0, 1)
(355, 'Asefa MENGSTU', 'tiempo', 'Torneo de Japan', 8030109.0, 7302153.0, 1)
(124, 'Nijel AMOS', 'tiempo', 'Torneo de Canada', 112036.0, 101977.0, 1)
(92, 'Rai BENJAMIN', 'tiempo', 'Torneo de Burkina Faso', 50610.0, 43457.0, 1)
(605, 'Yulimar ROJAS', 'largo', 'Torneo de Canada', 1996.0, 1815.0, 4)
(446, 'Soufiane EL BAKKALI', 'tiempo', 'Torneo de Marshall Islands', 529036.0, 481711.0, 1)
(508, 'Yuliya LEVCHENKO', 'altura', 'Torneo de United States', 261.0, 237.0, 5)
(285, 'Stephen KIPROP', 'tiempo', 'Torneo de North Korea', 3828110.0, 3481218.0, 1)
(536, 'Torben BLECH', 'altura', 'Torneo de Zimbabwe', 667.0, 606.0, 9)
(507, 'Nafissatou THIAM', 'altura', 'Torneo de Maldives', 261.0, 237.0, 8)
(788, 'Andreas HOFMANN', 'lanzamiento', 'Torneo de Russia', 9964.0, 9067.0, 1)
(535, 'Andrew IRWIN', 'altura', 'Torneo de Andorra', 667.0, 606.0, 5)
(202, 'Nikki HILTZ', 'tiempo', 'Torneo de Virgin Islands (British)', 229633.0, 208920.0, 1)
(610, 'Darya NIDBAYKINA', 'largo', 'Torneo de Turkey', 1996.0, 1814.0, 3)
(195, 'Konstanze KLOSTERHALFEN', 'tiempo', 'Torneo de Burundi', 849050.0, 208796.0, 1)
(274, 'Berehanu TSEGU', 'tiempo', 'Torneo de Belarus', 3828021.0, 1608306.0, 1)
(427, 'Shamier LITTLE', 'tiempo', 'Torneo de Kazakhstan', 50699.0, 46113.0, 1)
(772, 'Haruka KITAGUCHI', 'lanzamiento', 'Torneo de Lithuania', 9966.0, 9072.0, 1)
(518, 'Daniela STANCIU', 'altura', 'Torneo de Puerto Rico', 261.0, 237.0, 6)
(321, 'Vivian J. CHERUIYOT', 'tiempo', 'Torneo de Bangladesh', 8028981.0, 3484087.0, 1)
(735, 'Serghei MARGHIEV', 'lanzamiento', 'Torneo de Mauritius', 8991.0, 8175.0, 6)
(701, 'Martin WIERIG', 'lanzamiento', 'Torneo de Albania', 7899.0, 7187.0, 5)
(585, 'Brittney REESE', 'largo', 'Torneo de Namibia', 956.0, 869.0, 5)
(385, 'Nia ALI', 'tiempo', 'Torneo de Papua New Guinea', 13305.0, 12102.0, 1)
(206, 'Hagos GEBRHIWET', 'tiempo', 'Torneo de Honduras', 1767755.0, 772664.0, 1)
(506, 'Yaroslava MAHUCHIKH', 'altura', 'Torneo de Puerto Rico', 261.0, 237.0, 8)
(199, 'Laura WEIGHTMAN', 'tiempo', 'Torneo de Mongolia', 848834.0, 208792.0, 1)
(514, 'Mirela DEMIREVA', 'altura', 'Torneo de Samoa', 261.0, 237.0, 7)
(732, 'Nick MILLER', 'lanzamiento', 'Torneo de Malaysia', 8992.0, 8177.0, 8)
(257, 'Tsigie GEBRESELAMA', 'tiempo', 'Torneo de Saint Lucia', 1768723.0, 1608952.0, 1)
(479, 'Mercy CHEPKURUI', 'tiempo', 'Torneo de Mongolia', 528670.0, 481081.0, 1)
(369, 'Pascal MARTINOT-LAGARDE', 'tiempo', 'Torneo de Netherlands', 13308.0, 12119.0, 1)
(615, 'Paraskevi PAPACHRISTOU', 'largo', 'Torneo de Central African Republic', 1996.0, 1814.0, 10)
(582, 'Jianan WANG', 'largo', 'Torneo de Zimbabwe', 956.0, 869.0, 7)
(762, 'Na LUO', 'lanzamiento', 'Torneo de China', 8990.0, 8180.0, 6)
(521, 'Ella JUNNILA', 'altura', 'Torneo de Pakistan', 261.0, 237.0, 4)
(777, 'Liveta JASIŪNAITĖ', 'lanzamiento', 'Torneo de Morocco', 9964.0, 9064.0, 9)
(353, 'Marius KIPSEREM', 'tiempo', 'Torneo de Uzbekistan', 8026004.0, 7307460.0, 1)
(243, 'Karoline Bjerkeli GRØVDAL', 'tiempo', 'Torneo de Ivory Coast', 849135.0, 481175.0, 1)
(18, 'Yuki KOIKE', 'tiempo', 'Torneo de Gambia', 10733.0, 9764.0, 1)
(680, 'Portious WARREN', 'lanzamiento', 'Torneo de Guinea-Bissau', 2521.0, 2291.0, 2)
(54, 'Janeek BROWN', 'tiempo', 'Torneo de Indonesia', 21442.0, 12102.0, 1)
(142, 'Jonathan KITILIT', 'tiempo', 'Torneo de Lesotho', 112052.0, 101929.0, 1)
(720, 'Yekaterina STROKOVA', 'lanzamiento', 'Torneo de New Zealand', 7905.0, 7191.0, 1)
(755, 'Hanna MALYSHIK', 'lanzamiento', 'Torneo de Chile', 8992.0, 8181.0, 5)
(669, 'Christina SCHWANITZ', 'lanzamiento', 'Torneo de Vatican City', 2520.0, 2291.0, 2)
(1, 'Christian COLEMAN', 'tiempo', 'Torneo de Philippines', 21449.0, 9762.0, 1)
(311, 'Birhane DIBABA', 'tiempo', 'Torneo de Guinea', 8023527.0, 3488790.0, 1)
(76, 'Adam GEMILI', 'tiempo', 'Torneo de Monaco', 21406.0, 19509.0, 1)
(365, 'Daniel ROBERTS', 'tiempo', 'Torneo de Georgia', 13283.0, 12105.0, 1)
(480, 'Genevieve GREGSON', 'tiempo', 'Torneo de Chad', 528811.0, 481076.0, 1)
(86, 'Fred KERLEY', 'tiempo', 'Torneo de French Guiana', 47776.0, 43470.0, 1)
(557, 'Michaela MEIJER', 'altura', 'Torneo de Tuvalu', 667.0, 606.0, 8)
(501, 'Jeron ROBINSON', 'altura', 'Torneo de Tanzania', 261.0, 237.0, 3)
(668, 'Maggie EWEN', 'lanzamiento', 'Torneo de Turkey', 8985.0, 2293.0, 4)
(397, 'Andrea Carolina VARGAS', 'tiempo', 'Torneo de Germany', 13295.0, 12105.0, 1)
(767, 'Kelsey-Lee BARBER', 'lanzamiento', 'Torneo de Netherlands', 9963.0, 9066.0, 3)
(617, 'Yekaterina KONEVA', 'largo', 'Torneo de Greece', 1995.0, 1814.0, 9)
(478, 'Maruša MIŠMAŠ', 'tiempo', 'Torneo de Libya', 529081.0, 481151.0, 1)
(445, 'Lamecha GIRMA', 'tiempo', 'Torneo de Mali', 528818.0, 481078.0, 1)
(559, 'Emily GROVE', 'altura', 'Torneo de Seychelles', 667.0, 606.0, 8)
(193, 'Rababe ARAFI', 'tiempo', 'Torneo de San Marino', 229647.0, 208782.0, 1)
(346, 'Birhanu LEGESE', 'tiempo', 'Torneo de Botswana', 8023472.0, 7303206.0, 1)
(796, 'Julian WEBER', 'lanzamiento', 'Torneo de Senegal', 9968.0, 9061.0, 3)
(102, 'Michael CHERRY', 'tiempo', 'Torneo de Equatorial Guinea', 47788.0, 43454.0, 1)
(97, '\u200bDemish GAYE', 'tiempo', 'Torneo de Dominican Republic', 47724.0, 43500.0, 1)
(155, 'Winnie NANYONDO', 'tiempo', 'Torneo de South Korea', 229610.0, 101899.0, 1)
(602, 'Hilary KPATCHA', 'largo', 'Torneo de Vanuatu', 956.0, 869.0, 3)
(339, 'Purity Cherotich RIONORIPO', 'tiempo', 'Torneo de Germany', 8031054.0, 7303553.0, 1)
(366, 'Orlando ORTEGA', 'tiempo', 'Torneo de Kuwait', 13304.0, 12109.0, 1)
(771, 'Sara KOLAK', 'lanzamiento', 'Torneo de Zimbabwe', 9940.0, 9087.0, 4)
(23, 'ShaCarri RICHARDSON', 'tiempo', 'Torneo de Suriname', 21423.0, 9760.0, 1)
(106, 'Aminatou SEYNI', 'tiempo', 'Torneo de Niger', 47772.0, 43484.0, 1)
(116, 'Stephenie Ann MCPHERSON', 'tiempo', 'Torneo de Moldova', 47765.0, 43470.0, 1)
(93, 'Emmanuel Kipkurui KORIR', 'tiempo', 'Torneo de Kiribati', 112026.0, 43498.0, 1)
(651, 'Konrad BUKOWIECKI', 'lanzamiento', 'Torneo de India', 2521.0, 2292.0, 6)
(475, 'Anna Emilie MØLLER', 'tiempo', 'Torneo de Barbados', 528968.0, 481045.0, 1)
